Step_Name,Cleaned_Operation
灭菌(辐照)外协,灭菌(辐照)(外协)
灭菌外协,灭菌(外协)
灭菌外协检验,灭菌检验
灭菌工序进货检验,灭菌工序进货检验
灭菌工序进货检验 PII-J00875,灭菌工序进货检验
灭菌工序进货检验PII-J00875,灭菌工序进货检验
灭菌检验,灭菌检验
灭菌（辐照）外协,灭菌（辐照）(外协)
灭菌（辐照）外协 WI-346,灭菌（辐照）
灭菌（辐照）外协 检验 PII-Q00011,灭菌（辐照）检验
灭菌（辐照）外协WI-346,灭菌（辐照）
灭菌（辐照）外协检验,灭菌（辐照）检验
灭菌（辐照）外协检验 PII-J00875,灭菌（辐照）检验
点钝,点钝化
点钝化,点钝化
点钝化 PS-608383-100,点钝化
点钝化 WI-155,点钝化
点钝化PS-231290-20,点钝化
点钝化WI-155,点钝化
热处理,非真空热处理
热处理 PS-36432100-01-80,非真空热处理
热处理 PS-608383-40,非真空热处理
热处理 WI-089,非真空热处理
热处理(OEM),非真空热处理(外协)
热处理(外协),非真空热处理(外协)
热处理(真空),真空热处理
热处理(非真空),非真空热处理
热处理-外协,非真空热处理(外协)
热处理-外协检验,热处理(外协)检验
热处理WI-089,非真空热处理
热处理WI-159,非真空热处理
热处理外协,非真空热处理(外协)
热处理外协检验,热处理检验
热处理检验,热处理检验
热处理检验  PII-G02039,热处理检验
热处理检验  PII-G106240-01,热处理检验
热处理检验 PII-G00808,热处理检验
热处理检验 PII-G1/33100200-H,热处理检验/33100200-H
热处理检验 PII-G1/33140000-H,热处理检验/33140000-H
热处理检验 PII-G133104146R-S,热处理检验
热处理检验 PII-G32802000-H PS工艺,热处理检验 PS工艺
热处理检验 PII-G32802000-S,热处理检验
热处理检验 PII-G32820100-H PS工艺,热处理检验 PS工艺
热处理检验 PII-G36431000-01,热处理检验
热处理检验 PII-G36431100-01,热处理检验
热处理检验 PII-G36431200-01,热处理检验
热处理检验 PII-G36432100-01,热处理检验
热处理检验 PII-G39590900-H PS工艺,热处理检验 PS工艺
热处理检验 PII-G39659000-02,热处理检验
热处理检验 PII-G608383,热处理检验
热处理检验 详细参见检验指导书,热处理检验 详细参见检验指导书
热处理检验PII-G01553,热处理检验
热处理检验PII-G02304,热处理检验
热处理检验PII-G02440,热处理检验
热处理检验PII-G03600,热处理检验
热处理检验PII-G03664,热处理检验
热处理检验PII-G03675,热处理检验
热处理检验PII-G106157-02,热处理检验
热处理检验PII-G139130-01,热处理检验
热处理检验PII-G181060,热处理检验
热处理检验PII-G256105-01,热处理检验
热处理（检验）,热处理（检验）
热处理（真空）（可外协）,真空热处理(外协)
热处理（非真空）,非真空热处理
热缩,热缩
热缩检验,热缩检验
焊接,焊接
焊接(氩弧焊),氩弧焊
焊接(氩弧焊)检验,氩弧焊检验
焊接(激光焊),激光焊接
焊接(激光焊)检验,激光焊接检验
焊接WI-126,焊接
焊接检验,焊接检验
焊接检验参见相关检验文件,焊接检验参见相关检验文件
电火花(外协),电火花(外协)
电火花（外协）,电火花(外协)
电脉冲（可外协）,电脉冲(外协)
电解,电解
电解 PS-608383-60,电解
电解WI-108,电解
电解去氢,电解去氢
电解检验,电解检验
电解检验 详细参见检验指导书,电解检验 详细参见检验指导书
电解（外协）,电解(外协)
真空热处理,真空热处理
真空热处理(可外协),真空热处理(外协)
真空热处理(可外协）,真空热处理(外协)
真空热处理(外协),真空热处理(外协)
真空热处理-外协,真空热处理(外协)
真空热处理（可外协),真空热处理(外协)
真空热处理（可外协）,真空热处理(外协)
真空热处理（可外协）Va,真空热处理Va(外协)
着色,着色
着色 WI-100,着色
着色(外协) PS-36432000-02-70,着色(外协)
着色(外协) PS-36432000-03-70,着色(外协)
着色(外协)检验 PII-G36432000-02,着色(外协)检验
着色(外协)检验 PII-G36432000-03,着色(外协)检验
着色-外协,着色(外协)
着色-外协 PS-36432100-01-160,着色(外协)
着色-外协检验 PII-G35040000-01-J,着色(外协)检验
着色-外协检验 PII-G35070005,着色(外协)检验
着色-外协检验 PII-G36431000-01,着色(外协)检验
着色-外协检验 PII-G36431100-01,着色(外协)检验
着色-外协检验 PII-G36431200-01,着色(外协)检验
着色-外协检验 PII-G36432100-01,着色(外协)检验
着色WI-100,着色
着色外协,着色(外协)
着色外协检验,着色检验
着色外协检验 PII-G36470100A,着色检验
着色外协检验 PII-G36471100A,着色检验
着色外协检验 PII-G36477000A,着色检验
着色检验,着色检验
着色检验 PII-G01245（32372000-01）,着色检验（32372000-01）
着色检验 PII-G1/33100200-H PS工艺,着色检验/33100200-H PS工艺
着色检验 PII-G1/33140000-H PS工艺,着色检验/33140000-H PS工艺
着色检验 PII-G133104146R-S,着色检验
着色检验 PII-G32802000-H PS工艺,着色检验 PS工艺
着色检验 PII-G32802000-S,着色检验
着色检验 PII-G32820100-H PS工艺,着色检验 PS工艺
着色检验 PII-G32820200-H PS工艺,着色检验 PS工艺
着色检验 PII-G36100500-01,着色检验
着色检验 PII-G36114030,着色检验
着色检验 PII-G36124030,着色检验
着色检验 PII-G36134000-02,着色检验
着色检验 PII-G36134030-01,着色检验
着色检验 PII-G36310000-02,着色检验
着色检验 PII-G39590900-H PS工艺,着色检验 PS工艺
着色检验PII-G22578200,着色检验
着色检验PII-G36100200-01,着色检验
着色检验PII-G36100400-01,着色检验
着色检验PII-G36124020,着色检验
着色（外协）,着色(外协)
研磨,研磨
研磨  WI-ED-014,研磨
研磨 PS-36432000-02-30,研磨
研磨 PS-36432000-03-30,研磨
研磨 WI-131,研磨
研磨COS,研磨COS
研磨WI-131,研磨
研磨WI-ED-014,研磨
研磨检验,研磨检验
硅胶注塑,硅胶注塑
硅胶注塑(OEM),硅胶注塑(外协)
硅胶注塑(OEM)WI-167,硅胶注塑(外协)
硬质氧化,硬质氧化
硬质氧化-外协,硬质氧化(外协)
硬质氧化-外协检验 详细参见检验指导书,硬质氧化检验 详细参见检验指导书(外协)
硬质氧化外协,硬质氧化(外协)
硬质氧化外协检验,硬质氧化检验
硬质氧化检验,硬质氧化检验
磁力研磨,磁力研磨
磨,磨
磨(五轴),五轴磨
磨(五轴)-可外协,五轴磨-可(外协)
磨(五轴)-外协,五轴磨(外协)
磨(五轴)检验,五轴磨检验
磨(平面),平面磨
磨(平面)检验,平面磨检验
磨(无心),无心磨
磨(无心)WI-048,无心磨
磨(无心)检验 详细参见检验指导书,无心磨检验 详细参见检验指导书
磨WI-048,磨
磨外协,磨(外协)
磨外协检验,磨检验
磨外圆(外协),磨外圆(外协)
磨外圆(外协)检验,磨外圆(外协)检验
磨外圆（外协）,磨外圆(外协)
磨外圆（外协）检验,磨外圆(外协)检验
磨检验,磨检验
磨（外协）,磨(外协)
磨（外协）WI-048,磨(外协)
磨（外协）检验,磨(外协)检验
磨（外协）检验PII-G02211,磨(外协)检验
磨（工具） WI-048,工具磨
