分类         ,Material Number    ,CFN                ,Group    ,Ver. ,Plant ,Operation/activity ,Operation description ,OEE  ,调试时间   ,备注
器械         ,2981122-01         ,2981122-01         ,50195521 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981126-01         ,2981126-01         ,50195544 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981222-01         ,2981222-01         ,50195568 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981226-01         ,2981226-01         ,50195585 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981232-01         ,2981232-01         ,50195600 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981236-01         ,2981236-01         ,50195617 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981322-01         ,2981322-01         ,50195635 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981326-01         ,2981326-01         ,50195660 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981332-01         ,2981332-01         ,50195685 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981422-01         ,2981422-01         ,50195710 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981426-01         ,2981426-01         ,50195728 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981432-01         ,2981432-01         ,50195745 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981436-01         ,2981436-01         ,50195761 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981526-01         ,2981526-01         ,50195776 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981632-01         ,2981632-01         ,50195800 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981636-01         ,2981636-01         ,50195824 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2986245-01         ,2986245-01         ,50195851 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2986445-01         ,2986445-01         ,50195867 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2986445-01         ,2986445-01         ,50195867 ,PV01 , 1303 ,                20 ,车削                    ,0.0  ,       ,
器械         ,2986845-01         ,2986845-01         ,50195890 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
